name,slug,sku,genericName,brand,description,form,strength,packSize,categoryIds,regulatoryClass,nafdacRegNo,manufacturer,status,price,cost,compareAt,isAvailable,openingQuantity,reorderLevel,batchNo,expiry,reason
Carbamazepine 200mg,carbamazepine-200mg-tablet,,Carbamazepine,,,tablet,200mg,,,POM,,,draft,0,,,true,100,20,B10039,2028-12-30,Bulk import: inventory_3000
Amoxicillin 500mg,amoxicillin-500mg-capsule,,Amoxicillin,,,capsule,500mg,,,POM,,,draft,0,,,true,300,20,B10040,2028-12-30,Bulk import: inventory_3000
Amoxicillin 125mg/5ml,amoxicillin-125mg-5ml-suspension,,Amoxicillin,,,suspension,125mg/5ml,,,POM,,,draft,0,,,true,100,20,B10041,2028-12-30,Bulk import: inventory_3000
Ampicillin 500mg,ampicillin-500mg-injection,,Ampicillin,,,injection,500mg,,,POM,,,draft,0,,,true,200,20,B10042,2028-12-30,Bulk import: inventory_3000
Cloxacillin 250mg,cloxacillin-250mg-capsule,,Cloxacillin,,,capsule,250mg,,,POM,,,draft,0,,,true,200,20,B10043,2028-12-30,Bulk import: inventory_3000
Ceftriaxone 1g,ceftriaxone-1g-injection,,Ceftriaxone,,,injection,1g,,,POM,,,draft,0,,,true,200,20,B10044,2028-12-30,Bulk import: inventory_3000
Cefuroxime 250mg,cefuroxime-250mg-tablet,,Cefuroxime,,,tablet,250mg,,,POM,,,draft,0,,,true,200,20,B10045,2028-12-30,Bulk import: inventory_3000
Azithromycin 500mg,azithromycin-500mg-tablet,,Azithromycin,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10046,2028-12-30,Bulk import: inventory_3000
Erythromycin 250mg,erythromycin-250mg-tablet,,Erythromycin,,,tablet,250mg,,,POM,,,draft,0,,,true,200,20,B10047,2028-12-30,Bulk import: inventory_3000
Ciprofloxacin 500mg,ciprofloxacin-500mg-tablet,,Ciprofloxacin,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10048,2028-12-30,Bulk import: inventory_3000
Metronidazole 200mg,metronidazole-200mg-tablet,,Metronidazole,,,tablet,200mg,,,POM,,,draft,0,,,true,100,20,B10049,2028-12-30,Bulk import: inventory_3000
Metronidazole 5mg/ml,metronidazole-5mg-ml-injection,,Metronidazole,,,injection,5mg/ml,,,POM,,,draft,0,,,true,100,20,B10050,2028-12-30,Bulk import: inventory_3000
Gentamicin 40mg/ml,gentamicin-40mg-ml-injection,,Gentamicin,,,injection,40mg/ml,,,POM,,,draft,0,,,true,100,20,B10051,2028-12-30,Bulk import: inventory_3000
Doxycycline 100mg,doxycycline-100mg-capsule,,Doxycycline,,,capsule,100mg,,,POM,,,draft,0,,,true,200,20,B10052,2028-12-30,Bulk import: inventory_3000
Cotrimoxazole 480mg,cotrimoxazole-480mg-tablet,,Cotrimoxazole,,,tablet,480mg,,,POM,,,draft,0,,,true,100,20,B10053,2028-12-30,Bulk import: inventory_3000
Artemether + Lumefantrine 20mg/120mg,artemether-lumefantrine-20mg-120mg-tablet,,Artemether + Lumefantrine,,,tablet,20mg/120mg,,,POM,,,draft,0,,,true,100,20,B10054,2028-12-30,Bulk import: inventory_3000
Artesunate 60mg,artesunate-60mg-injection,,Artesunate,,,injection,60mg,,,POM,,,draft,0,,,true,100,20,B10055,2028-12-30,Bulk import: inventory_3000
Amodiaquine 200mg,amodiaquine-200mg-tablet,,Amodiaquine,,,tablet,200mg,,,POM,,,draft,0,,,true,100,20,B10056,2028-12-30,Bulk import: inventory_3000
Quinine 300mg/ml,quinine-300mg-ml-injection,,Quinine,,,injection,300mg/ml,,,POM,,,draft,0,,,true,100,20,B10057,2028-12-30,Bulk import: inventory_3000
Fluconazole 150mg,fluconazole-150mg-capsule,,Fluconazole,,,capsule,150mg,,,POM,,,draft,0,,,true,100,20,B10058,2028-12-30,Bulk import: inventory_3000
"Nystatin 100,000 IU/ml",nystatin-100-000-iu-ml-suspension,,Nystatin,,,suspension,"100,000 IU/ml",,,POM,,,draft,0,,,true,100,20,B10059,2028-12-30,Bulk import: inventory_3000
Amlodipine 5mg,amlodipine-5mg-tablet,,Amlodipine,,,tablet,5mg,,,POM,,,draft,0,,,true,100,20,B10060,2028-12-30,Bulk import: inventory_3000
Amlodipine 10mg,amlodipine-10mg-tablet,,Amlodipine,,,tablet,10mg,,,POM,,,draft,0,,,true,300,20,B10061,2028-12-30,Bulk import: inventory_3000
Lisinopril 10mg,lisinopril-10mg-tablet,,Lisinopril,,,tablet,10mg,,,POM,,,draft,0,,,true,300,20,B10062,2028-12-30,Bulk import: inventory_3000
Lisinopril 20mg,lisinopril-20mg-tablet,,Lisinopril,,,tablet,20mg,,,POM,,,draft,0,,,true,300,20,B10063,2028-12-30,Bulk import: inventory_3000
Atenolol 50mg,atenolol-50mg-tablet,,Atenolol,,,tablet,50mg,,,POM,,,draft,0,,,true,200,20,B10064,2028-12-30,Bulk import: inventory_3000
Propranolol 40mg,propranolol-40mg-tablet,,Propranolol,,,tablet,40mg,,,POM,,,draft,0,,,true,100,20,B10065,2028-12-30,Bulk import: inventory_3000
Methyldopa 250mg,methyldopa-250mg-tablet,,Methyldopa,,,tablet,250mg,,,POM,,,draft,0,,,true,200,20,B10066,2028-12-30,Bulk import: inventory_3000
Hydralazine 20mg,hydralazine-20mg-injection,,Hydralazine,,,injection,20mg,,,POM,,,draft,0,,,true,200,20,B10067,2028-12-30,Bulk import: inventory_3000
Glyceryl Trinitrate 0.5mg,glyceryl-trinitrate-0-5mg-tablet,,Glyceryl Trinitrate,,,tablet,0.5mg,,,POM,,,draft,0,,,true,100,20,B10068,2028-12-30,Bulk import: inventory_3000
Isosorbide Dinitrate 10mg,isosorbide-dinitrate-10mg-tablet,,Isosorbide Dinitrate,,,tablet,10mg,,,POM,,,draft,0,,,true,200,20,B10069,2028-12-30,Bulk import: inventory_3000
Digoxin 0.25mg,digoxin-0-25mg-tablet,,Digoxin,,,tablet,0.25mg,,,POM,,,draft,0,,,true,100,20,B10070,2028-12-30,Bulk import: inventory_3000
Furosemide 40mg,furosemide-40mg-tablet,,Furosemide,,,tablet,40mg,,,POM,,,draft,0,,,true,100,20,B10071,2028-12-30,Bulk import: inventory_3000
Furosemide 10mg/ml,furosemide-10mg-ml-injection,,Furosemide,,,injection,10mg/ml,,,POM,,,draft,0,,,true,100,20,B10072,2028-12-30,Bulk import: inventory_3000
Hydrochlorothiazide 25mg,hydrochlorothiazide-25mg-tablet,,Hydrochlorothiazide,,,tablet,25mg,,,POM,,,draft,0,,,true,100,20,B10073,2028-12-30,Bulk import: inventory_3000
Spironolactone 25mg,spironolactone-25mg-tablet,,Spironolactone,,,tablet,25mg,,,POM,,,draft,0,,,true,100,20,B10074,2028-12-30,Bulk import: inventory_3000
Atorvastatin 20mg,atorvastatin-20mg-tablet,,Atorvastatin,,,tablet,20mg,,,POM,,,draft,0,,,true,200,20,B10075,2028-12-30,Bulk import: inventory_3000
Simvastatin 20mg,simvastatin-20mg-tablet,,Simvastatin,,,tablet,20mg,,,POM,,,draft,0,,,true,200,20,B10076,2028-12-30,Bulk import: inventory_3000
Salbutamol 100mcg,salbutamol-100mcg-inhaler,,Salbutamol,,,inhaler,100mcg,,,POM,,,draft,0,,,true,100,20,B10077,2028-12-30,Bulk import: inventory_3000
Salbutamol 4mg,salbutamol-4mg-tablet,,Salbutamol,,,tablet,4mg,,,POM,,,draft,0,,,true,100,20,B10078,2028-12-30,Bulk import: inventory_3000
Aminophylline 25mg/ml,aminophylline-25mg-ml-injection,,Aminophylline,,,injection,25mg/ml,,,POM,,,draft,0,,,true,100,20,B10079,2028-12-30,Bulk import: inventory_3000
Omeprazole 20mg,omeprazole-20mg-capsule,,Omeprazole,,,capsule,20mg,,,POM,,,draft,0,,,true,200,20,B10080,2028-12-30,Bulk import: inventory_3000
Cimetidine 200mg,cimetidine-200mg-tablet,,Cimetidine,,,tablet,200mg,,,POM,,,draft,0,,,true,100,20,B10081,2028-12-30,Bulk import: inventory_3000
Metoclopramide 10mg,metoclopramide-10mg-tablet,,Metoclopramide,,,tablet,10mg,,,POM,,,draft,0,,,true,200,20,B10082,2028-12-30,Bulk import: inventory_3000
Zinc Sulfate 20mg,zinc-sulfate-20mg-tablet,,Zinc Sulfate,,,tablet,20mg,,,POM,,,draft,0,,,true,200,20,B10083,2028-12-30,Bulk import: inventory_3000
Bisacodyl 5mg,bisacodyl-5mg-tablet,,Bisacodyl,,,tablet,5mg,,,POM,,,draft,0,,,true,100,20,B10084,2028-12-30,Bulk import: inventory_3000
Metformin 500mg,metformin-500mg-tablet,,Metformin,,,tablet,500mg,,,POM,,,draft,0,,,true,300,20,B10085,2028-12-30,Bulk import: inventory_3000
Metformin 850mg,metformin-850mg-tablet,,Metformin,,,tablet,850mg,,,POM,,,draft,0,,,true,100,20,B10086,2028-12-30,Bulk import: inventory_3000
Glibenclamide 5mg,glibenclamide-5mg-tablet,,Glibenclamide,,,tablet,5mg,,,POM,,,draft,0,,,true,100,20,B10087,2028-12-30,Bulk import: inventory_3000
Glimepiride 2mg,glimepiride-2mg-tablet,,Glimepiride,,,tablet,2mg,,,POM,,,draft,0,,,true,100,20,B10088,2028-12-30,Bulk import: inventory_3000
Levothyroxine 50mcg,levothyroxine-50mcg-tablet,,Levothyroxine,,,tablet,50mcg,,,POM,,,draft,0,,,true,100,20,B10089,2028-12-30,Bulk import: inventory_3000
Carbimazole 5mg,carbimazole-5mg-tablet,,Carbimazole,,,tablet,5mg,,,POM,,,draft,0,,,true,100,20,B10090,2028-12-30,Bulk import: inventory_3000
Folic Acid 5mg,folic-acid-5mg-tablet,,Folic Acid,,,tablet,5mg,,,POM,,,draft,0,,,true,100,20,B10091,2028-12-30,Bulk import: inventory_3000
Oxytocin 10 IU/ml,oxytocin-10-iu-ml-injection,,Oxytocin,,,injection,10 IU/ml,,,POM,,,draft,0,,,true,100,20,B10092,2028-12-30,Bulk import: inventory_3000
Misoprostol 200mcg,misoprostol-200mcg-tablet,,Misoprostol,,,tablet,200mcg,,,POM,,,draft,0,,,true,100,20,B10093,2028-12-30,Bulk import: inventory_3000
Magnesium Sulfate 50%,magnesium-sulfate-50-injection,,Magnesium Sulfate,,,injection,50%,,,POM,,,draft,0,,,true,100,20,B10094,2028-12-30,Bulk import: inventory_3000
Amitriptyline 25mg,amitriptyline-25mg-tablet,,Amitriptyline,,,tablet,25mg,,,POM,,,draft,0,,,true,100,20,B10095,2028-12-30,Bulk import: inventory_3000
Fluoxetine 20mg,fluoxetine-20mg-capsule,,Fluoxetine,,,capsule,20mg,,,POM,,,draft,0,,,true,200,20,B10096,2028-12-30,Bulk import: inventory_3000
Haloperidol 5mg,haloperidol-5mg-tablet,,Haloperidol,,,tablet,5mg,,,POM,,,draft,0,,,true,100,20,B10097,2028-12-30,Bulk import: inventory_3000
Chlorpromazine 100mg,chlorpromazine-100mg-tablet,,Chlorpromazine,,,tablet,100mg,,,POM,,,draft,0,,,true,200,20,B10098,2028-12-30,Bulk import: inventory_3000
Halothane 10mg,halothane-10mg-tablet,,Halothane,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10099,2028-12-30,Bulk import: inventory_3000
Ketamine 10mg,ketamine-10mg-tablet,,Ketamine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10100,2028-12-30,Bulk import: inventory_3000
Nitrous oxide 10mg,nitrous-oxide-10mg-tablet,,Nitrous oxide,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10101,2028-12-30,Bulk import: inventory_3000
Oxygen 10mg,oxygen-10mg-tablet,,Oxygen,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10102,2028-12-30,Bulk import: inventory_3000
Atropine 10mg,atropine-10mg-tablet,,Atropine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10103,2028-12-30,Bulk import: inventory_3000
Diazepam 10mg,diazepam-10mg-tablet,,Diazepam,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10104,2028-12-30,Bulk import: inventory_3000
Hyoscine N-Butylbromide 10mg,hyoscine-n-butylbromide-10mg-tablet,,Hyoscine N-Butylbromide,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10105,2028-12-30,Bulk import: inventory_3000
Midazolam 10mg,midazolam-10mg-tablet,,Midazolam,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10106,2028-12-30,Bulk import: inventory_3000
Morphine 10mg,morphine-10mg-tablet,,Morphine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10107,2028-12-30,Bulk import: inventory_3000
Promethazine 10mg,promethazine-10mg-tablet,,Promethazine,,,tablet,10mg,,,POM,,,draft,0,,,true,200,20,B10108,2028-12-30,Bulk import: inventory_3000
Atracurium 10mg,atracurium-10mg-tablet,,Atracurium,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10110,2028-12-30,Bulk import: inventory_3000
Neostigmine 10mg,neostigmine-10mg-tablet,,Neostigmine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10111,2028-12-30,Bulk import: inventory_3000
Suxamethonium 10mg,suxamethonium-10mg-tablet,,Suxamethonium,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10112,2028-12-30,Bulk import: inventory_3000
Propofol 10mg,propofol-10mg-tablet,,Propofol,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10113,2028-12-30,Bulk import: inventory_3000
Lidocaine 10mg,lidocaine-10mg-tablet,,Lidocaine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10114,2028-12-30,Bulk import: inventory_3000
Bupivacaine 10mg,bupivacaine-10mg-tablet,,Bupivacaine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10115,2028-12-30,Bulk import: inventory_3000
Pentazocine 10mg,pentazocine-10mg-tablet,,Pentazocine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10116,2028-12-30,Bulk import: inventory_3000
Pethidine 10mg,pethidine-10mg-tablet,,Pethidine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10117,2028-12-30,Bulk import: inventory_3000
Tramadol 10mg,tramadol-10mg-tablet,,Tramadol,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10118,2028-12-30,Bulk import: inventory_3000
Acetylsalicylic Acid 10mg,acetylsalicylic-acid-10mg-tablet,,Acetylsalicylic Acid,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10119,2028-12-30,Bulk import: inventory_3000
Paracetamol 10mg,paracetamol-10mg-tablet,,Paracetamol,,,tablet,10mg,,,POM,,,draft,0,,,true,300,20,B10120,2028-12-30,Bulk import: inventory_3000
Allopurinol 10mg,allopurinol-10mg-tablet,,Allopurinol,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10123,2028-12-30,Bulk import: inventory_3000
Diclofenac Sodium 10mg,diclofenac-sodium-10mg-tablet,,Diclofenac Sodium,,,tablet,10mg,,,POM,,,draft,0,,,true,200,20,B10124,2028-12-30,Bulk import: inventory_3000
Ibuprofen 10mg,ibuprofen-10mg-tablet,,Ibuprofen,,,tablet,10mg,,,POM,,,draft,0,,,true,200,20,B10126,2028-12-30,Bulk import: inventory_3000
Naproxen 10mg,naproxen-10mg-tablet,,Naproxen,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10128,2028-12-30,Bulk import: inventory_3000
Piroxicam 10mg,piroxicam-10mg-tablet,,Piroxicam,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10129,2028-12-30,Bulk import: inventory_3000
Meloxicam 10mg,meloxicam-10mg-tablet,,Meloxicam,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10130,2028-12-30,Bulk import: inventory_3000
Naloxone 10mg,naloxone-10mg-tablet,,Naloxone,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10131,2028-12-30,Bulk import: inventory_3000
Chlorpheniramine 10mg,chlorpheniramine-10mg-tablet,,Chlorpheniramine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10132,2028-12-30,Bulk import: inventory_3000
Hydrocortisone 10mg,hydrocortisone-10mg-tablet,,Hydrocortisone,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10133,2028-12-30,Bulk import: inventory_3000
Prednisolone 10mg,prednisolone-10mg-tablet,,Prednisolone,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10134,2028-12-30,Bulk import: inventory_3000
Phenobarbital 10mg,phenobarbital-10mg-tablet,,Phenobarbital,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10135,2028-12-30,Bulk import: inventory_3000
Phenytoin 10mg,phenytoin-10mg-tablet,,Phenytoin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10136,2028-12-30,Bulk import: inventory_3000
Sodium Valproate 10mg,sodium-valproate-10mg-tablet,,Sodium Valproate,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10137,2028-12-30,Bulk import: inventory_3000
Carbamazepine 10mg,carbamazepine-10mg-tablet,,Carbamazepine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10138,2028-12-30,Bulk import: inventory_3000
Amoxicillin 10mg,amoxicillin-10mg-tablet,,Amoxicillin,,,tablet,10mg,,,POM,,,draft,0,,,true,200,20,B10139,2028-12-30,Bulk import: inventory_3000
Ampicillin 10mg,ampicillin-10mg-tablet,,Ampicillin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10141,2028-12-30,Bulk import: inventory_3000
Cloxacillin 10mg,cloxacillin-10mg-tablet,,Cloxacillin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10142,2028-12-30,Bulk import: inventory_3000
Ceftriaxone 10mg,ceftriaxone-10mg-tablet,,Ceftriaxone,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10143,2028-12-30,Bulk import: inventory_3000
Cefuroxime 10mg,cefuroxime-10mg-tablet,,Cefuroxime,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10144,2028-12-30,Bulk import: inventory_3000
Azithromycin 10mg,azithromycin-10mg-tablet,,Azithromycin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10145,2028-12-30,Bulk import: inventory_3000
Erythromycin 10mg,erythromycin-10mg-tablet,,Erythromycin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10146,2028-12-30,Bulk import: inventory_3000
Ciprofloxacin 10mg,ciprofloxacin-10mg-tablet,,Ciprofloxacin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10147,2028-12-30,Bulk import: inventory_3000
Metronidazole 10mg,metronidazole-10mg-tablet,,Metronidazole,,,tablet,10mg,,,POM,,,draft,0,,,true,200,20,B10148,2028-12-30,Bulk import: inventory_3000
Gentamicin 10mg,gentamicin-10mg-tablet,,Gentamicin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10150,2028-12-30,Bulk import: inventory_3000
Doxycycline 10mg,doxycycline-10mg-tablet,,Doxycycline,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10151,2028-12-30,Bulk import: inventory_3000
Cotrimoxazole 10mg,cotrimoxazole-10mg-tablet,,Cotrimoxazole,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10152,2028-12-30,Bulk import: inventory_3000
Artemether + Lumefantrine 10mg,artemether-lumefantrine-10mg-tablet,,Artemether + Lumefantrine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10153,2028-12-30,Bulk import: inventory_3000
Artesunate 10mg,artesunate-10mg-tablet,,Artesunate,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10154,2028-12-30,Bulk import: inventory_3000
Amodiaquine 10mg,amodiaquine-10mg-tablet,,Amodiaquine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10155,2028-12-30,Bulk import: inventory_3000
Quinine 10mg,quinine-10mg-tablet,,Quinine,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10156,2028-12-30,Bulk import: inventory_3000
Fluconazole 10mg,fluconazole-10mg-tablet,,Fluconazole,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10157,2028-12-30,Bulk import: inventory_3000
Nystatin 10mg,nystatin-10mg-tablet,,Nystatin,,,tablet,10mg,,,POM,,,draft,0,,,true,100,20,B10158,2028-12-30,Bulk import: inventory_3000
