Product,Generic,Brand,Form,Strength,On hand,Reserved,Available,Reorder level,Batch no,Expiry,Batch qty
Doxycycline 100mg,Doxycycline,,capsule,100mg,100,0,100,20,B10052,30/12/2028,100
Cotrimoxazole 480mg,Cotrimoxazole,,tablet,480mg,100,0,100,20,B10053,30/12/2028,100
Artemether + Lumefantrine 20mg/120mg,Artemether + Lumefantrine,,tablet,20mg/120mg,100,0,100,20,B10054,30/12/2028,100
Artesunate 60mg,Artesunate,,injection,60mg,100,0,100,20,B10055,30/12/2028,100
Amodiaquine 200mg,Amodiaquine,,tablet,200mg,100,0,100,20,B10056,30/12/2028,100
Quinine 300mg/ml,Quinine,,injection,300mg/ml,100,0,100,20,B10057,30/12/2028,100
Fluconazole 150mg,Fluconazole,,capsule,150mg,100,0,100,20,B10058,30/12/2028,100
"Nystatin 100,000 IU/ml",Nystatin,,oral suspension,"100,000 IU/ml",100,0,100,20,B10059,30/12/2028,100
Amlodipine 5mg,Amlodipine,,tablet,5mg,100,0,100,20,B10060,30/12/2028,100
Amlodipine 10mg,Amlodipine,,tablet,10mg,100,0,100,20,B10061,30/12/2028,100
Lisinopril 10mg,Lisinopril,,tablet,10mg,100,0,100,20,B10062,30/12/2028,100
Lisinopril 20mg,Lisinopril,,tablet,20mg,100,0,100,20,B10063,30/12/2028,100
Atenolol 50mg,Atenolol,,tablet,50mg,100,0,100,20,B10064,30/12/2028,100
Propranolol 40mg,Propranolol,,tablet,40mg,100,0,100,20,B10065,30/12/2028,100
Methyldopa 250mg,Methyldopa,,tablet,250mg,100,0,100,20,B10066,30/12/2028,100
Hydralazine 20mg,Hydralazine,,injection,20mg,100,0,100,20,B10067,30/12/2028,100
Glyceryl Trinitrate 0.5mg,Glyceryl Trinitrate,,tablet,0.5mg,100,0,100,20,B10068,30/12/2028,100
Isosorbide Dinitrate 10mg,Isosorbide Dinitrate,,tablet,10mg,100,0,100,20,B10069,30/12/2028,100
Digoxin 0.25mg,Digoxin,,tablet,0.25mg,100,0,100,20,B10070,30/12/2028,100
Furosemide 40mg,Furosemide,,tablet,40mg,100,0,100,20,B10071,30/12/2028,100
Furosemide 10mg/ml,Furosemide,,injection,10mg/ml,100,0,100,20,B10072,30/12/2028,100
Hydrochlorothiazide 25mg,Hydrochlorothiazide,,tablet,25mg,100,0,100,20,B10073,30/12/2028,100
Spironolactone 25mg,Spironolactone,,tablet,25mg,100,0,100,20,B10074,30/12/2028,100
Atorvastatin 20mg,Atorvastatin,,tablet,20mg,100,0,100,20,B10075,30/12/2028,100
Simvastatin 20mg,Simvastatin,,tablet,20mg,100,0,100,20,B10076,30/12/2028,100
Salbutamol 100mcg,Salbutamol,,inhaler,100mcg,100,0,100,20,B10077,30/12/2028,100
Salbutamol 4mg,Salbutamol,,tablet,4mg,100,0,100,20,B10078,30/12/2028,100
Aminophylline 25mg/ml,Aminophylline,,injection,25mg/ml,100,0,100,20,B10079,30/12/2028,100
Omeprazole 20mg,Omeprazole,,capsule,20mg,100,0,100,20,B10080,30/12/2028,100
Cimetidine 200mg,Cimetidine,,tablet,200mg,100,0,100,20,B10081,30/12/2028,100
Metoclopramide 10mg,Metoclopramide,,tablet,10mg,100,0,100,20,B10082,30/12/2028,100
Zinc Sulfate 20mg,Zinc Sulfate,,tablet,20mg,100,0,100,20,B10083,30/12/2028,100
Bisacodyl 5mg,Bisacodyl,,tablet,5mg,100,0,100,20,B10084,30/12/2028,100
Metformin 500mg,Metformin,,tablet,500mg,100,0,100,20,B10085,30/12/2028,100
Metformin 850mg,Metformin,,tablet,850mg,100,0,100,20,B10086,30/12/2028,100
Glibenclamide 5mg,Glibenclamide,,tablet,5mg,100,0,100,20,B10087,30/12/2028,100
Glimepiride 2mg,Glimepiride,,tablet,2mg,100,0,100,20,B10088,30/12/2028,100
Levothyroxine 50mcg,Levothyroxine,,tablet,50mcg,100,0,100,20,B10089,30/12/2028,100
Carbimazole 5mg,Carbimazole,,tablet,5mg,100,0,100,20,B10090,30/12/2028,100
Folic Acid 5mg,Folic Acid,,tablet,5mg,100,0,100,20,B10091,30/12/2028,100
Oxytocin 10 IU/ml,Oxytocin,,injection,10 IU/ml,100,0,100,20,B10092,30/12/2028,100
Misoprostol 200mcg,Misoprostol,,tablet,200mcg,100,0,100,20,B10093,30/12/2028,100
Magnesium Sulfate 50%,Magnesium Sulfate,,injection,50%,100,0,100,20,B10094,30/12/2028,100
Amitriptyline 25mg,Amitriptyline,,tablet,25mg,100,0,100,20,B10095,30/12/2028,100
Fluoxetine 20mg,Fluoxetine,,capsule,20mg,100,0,100,20,B10096,30/12/2028,100
Haloperidol 5mg,Haloperidol,,tablet,5mg,100,0,100,20,B10097,30/12/2028,100
Chlorpromazine 100mg,Chlorpromazine,,tablet,100mg,100,0,100,20,B10098,30/12/2028,100
Halothane 10mg,Halothane,,tablet,10mg,100,0,100,20,B10099,30/12/2028,100
Ketamine 10mg,Ketamine,,tablet,10mg,100,0,100,20,B10100,30/12/2028,100
Nitrous oxide 10mg,Nitrous oxide,,tablet,10mg,100,0,100,20,B10101,30/12/2028,100
Oxygen 10mg,Oxygen,,tablet,10mg,100,0,100,20,B10102,30/12/2028,100
Atropine 10mg,Atropine,,tablet,10mg,100,0,100,20,B10103,30/12/2028,100
Diazepam 10mg,Diazepam,,tablet,10mg,100,0,100,20,B10104,30/12/2028,100
Hyoscine N-Butylbromide 10mg,Hyoscine N-Butylbromide,,tablet,10mg,100,0,100,20,B10105,30/12/2028,100
Midazolam 10mg,Midazolam,,tablet,10mg,100,0,100,20,B10106,30/12/2028,100
Morphine 10mg,Morphine,,tablet,10mg,100,0,100,20,B10107,30/12/2028,100
Promethazine 10mg,Promethazine,,tablet,10mg,100,0,100,20,B10108,30/12/2028,100
Promethazine 10mg,Promethazine,,tablet,10mg,100,0,100,20,B10109,30/12/2028,100
Atracurium 10mg,Atracurium,,tablet,10mg,100,0,100,20,B10110,30/12/2028,100
Neostigmine 10mg,Neostigmine,,tablet,10mg,100,0,100,20,B10111,30/12/2028,100
Suxamethonium 10mg,Suxamethonium,,tablet,10mg,100,0,100,20,B10112,30/12/2028,100
Propofol 10mg,Propofol,,tablet,10mg,100,0,100,20,B10113,30/12/2028,100
Lidocaine 10mg,Lidocaine,,tablet,10mg,100,0,100,20,B10114,30/12/2028,100
Bupivacaine 10mg,Bupivacaine,,tablet,10mg,100,0,100,20,B10115,30/12/2028,100
Pentazocine 10mg,Pentazocine,,tablet,10mg,100,0,100,20,B10116,30/12/2028,100
Pethidine 10mg,Pethidine,,tablet,10mg,100,0,100,20,B10117,30/12/2028,100
Tramadol 10mg,Tramadol,,tablet,10mg,100,0,100,20,B10118,30/12/2028,100
Acetylsalicylic Acid 10mg,Acetylsalicylic Acid,,tablet,10mg,100,0,100,20,B10119,30/12/2028,100
Paracetamol 10mg,Paracetamol,,tablet,10mg,100,0,100,20,B10120,30/12/2028,100
Paracetamol 10mg,Paracetamol,,tablet,10mg,100,0,100,20,B10121,30/12/2028,100
Paracetamol 10mg,Paracetamol,,tablet,10mg,100,0,100,20,B10122,30/12/2028,100
Allopurinol 10mg,Allopurinol,,tablet,10mg,100,0,100,20,B10123,30/12/2028,100
Diclofenac Sodium 10mg,Diclofenac Sodium,,tablet,10mg,100,0,100,20,B10124,30/12/2028,100
Diclofenac Sodium 10mg,Diclofenac Sodium,,tablet,10mg,100,0,100,20,B10125,30/12/2028,100
Ibuprofen 10mg,Ibuprofen,,tablet,10mg,100,0,100,20,B10126,30/12/2028,100
Ibuprofen 10mg,Ibuprofen,,tablet,10mg,100,0,100,20,B10127,30/12/2028,100
Naproxen 10mg,Naproxen,,tablet,10mg,100,0,100,20,B10128,30/12/2028,100
Piroxicam 10mg,Piroxicam,,tablet,10mg,100,0,100,20,B10129,30/12/2028,100
Meloxicam 10mg,Meloxicam,,tablet,10mg,100,0,100,20,B10130,30/12/2028,100
Naloxone 10mg,Naloxone,,tablet,10mg,100,0,100,20,B10131,30/12/2028,100
Chlorpheniramine 10mg,Chlorpheniramine,,tablet,10mg,100,0,100,20,B10132,30/12/2028,100
Hydrocortisone 10mg,Hydrocortisone,,tablet,10mg,100,0,100,20,B10133,30/12/2028,100
Prednisolone 10mg,Prednisolone,,tablet,10mg,100,0,100,20,B10134,30/12/2028,100
Phenobarbital 10mg,Phenobarbital,,tablet,10mg,100,0,100,20,B10135,30/12/2028,100
Phenytoin 10mg,Phenytoin,,tablet,10mg,100,0,100,20,B10136,30/12/2028,100
Sodium Valproate 10mg,Sodium Valproate,,tablet,10mg,100,0,100,20,B10137,30/12/2028,100
Carbamazepine 10mg,Carbamazepine,,tablet,10mg,100,0,100,20,B10138,30/12/2028,100
Amoxicillin 10mg,Amoxicillin,,tablet,10mg,100,0,100,20,B10139,30/12/2028,100
Amoxicillin 10mg,Amoxicillin,,tablet,10mg,100,0,100,20,B10140,30/12/2028,100
Ampicillin 10mg,Ampicillin,,tablet,10mg,100,0,100,20,B10141,30/12/2028,100
Cloxacillin 10mg,Cloxacillin,,tablet,10mg,100,0,100,20,B10142,30/12/2028,100
Ceftriaxone 10mg,Ceftriaxone,,tablet,10mg,100,0,100,20,B10143,30/12/2028,100
Cefuroxime 10mg,Cefuroxime,,tablet,10mg,100,0,100,20,B10144,30/12/2028,100
Azithromycin 10mg,Azithromycin,,tablet,10mg,100,0,100,20,B10145,30/12/2028,100
Erythromycin 10mg,Erythromycin,,tablet,10mg,100,0,100,20,B10146,30/12/2028,100
Ciprofloxacin 10mg,Ciprofloxacin,,tablet,10mg,100,0,100,20,B10147,30/12/2028,100
Metronidazole 10mg,Metronidazole,,tablet,10mg,100,0,100,20,B10148,30/12/2028,100
Metronidazole 10mg,Metronidazole,,tablet,10mg,100,0,100,20,B10149,30/12/2028,100
Gentamicin 10mg,Gentamicin,,tablet,10mg,100,0,100,20,B10150,30/12/2028,100
Doxycycline 10mg,Doxycycline,,tablet,10mg,100,0,100,20,B10151,30/12/2028,100
Cotrimoxazole 10mg,Cotrimoxazole,,tablet,10mg,100,0,100,20,B10152,30/12/2028,100
Artemether + Lumefantrine 10mg,Artemether + Lumefantrine,,tablet,10mg,100,0,100,20,B10153,30/12/2028,100
Artesunate 10mg,Artesunate,,tablet,10mg,100,0,100,20,B10154,30/12/2028,100
Amodiaquine 10mg,Amodiaquine,,tablet,10mg,100,0,100,20,B10155,30/12/2028,100
Quinine 10mg,Quinine,,tablet,10mg,100,0,100,20,B10156,30/12/2028,100
Fluconazole 10mg,Fluconazole,,tablet,10mg,100,0,100,20,B10157,30/12/2028,100
Nystatin 10mg,Nystatin,,tablet,10mg,100,0,100,20,B10158,30/12/2028,100
Amlodipine 10mg,Amlodipine,,tablet,10mg,100,0,100,20,B10159,30/12/2028,100
Amlodipine 10mg,Amlodipine,,tablet,10mg,100,0,100,20,B10160,30/12/2028,100
Lisinopril 10mg,Lisinopril,,tablet,10mg,100,0,100,20,B10161,30/12/2028,100
Lisinopril 10mg,Lisinopril,,tablet,10mg,100,0,100,20,B10162,30/12/2028,100
Atenolol 10mg,Atenolol,,tablet,10mg,100,0,100,20,B10163,30/12/2028,100
Propranolol 10mg,Propranolol,,tablet,10mg,100,0,100,20,B10164,30/12/2028,100
Methyldopa 10mg,Methyldopa,,tablet,10mg,100,0,100,20,B10165,30/12/2028,100
Hydralazine 10mg,Hydralazine,,tablet,10mg,100,0,100,20,B10166,30/12/2028,100
Glyceryl Trinitrate 10mg,Glyceryl Trinitrate,,tablet,10mg,100,0,100,20,B10167,30/12/2028,100
Isosorbide Dinitrate 10mg,Isosorbide Dinitrate,,tablet,10mg,100,0,100,20,B10168,30/12/2028,100
Digoxin 10mg,Digoxin,,tablet,10mg,100,0,100,20,B10169,30/12/2028,100
Furosemide 10mg,Furosemide,,tablet,10mg,100,0,100,20,B10170,30/12/2028,100
Furosemide 10mg,Furosemide,,tablet,10mg,100,0,100,20,B10171,30/12/2028,100
Hydrochlorothiazide 10mg,Hydrochlorothiazide,,tablet,10mg,100,0,100,20,B10172,30/12/2028,100
Spironolactone 10mg,Spironolactone,,tablet,10mg,100,0,100,20,B10173,30/12/2028,100
Atorvastatin 10mg,Atorvastatin,,tablet,10mg,100,0,100,20,B10174,30/12/2028,100
Simvastatin 10mg,Simvastatin,,tablet,10mg,100,0,100,20,B10175,30/12/2028,100
Salbutamol 10mg,Salbutamol,,tablet,10mg,100,0,100,20,B10176,30/12/2028,100
Salbutamol 10mg,Salbutamol,,tablet,10mg,100,0,100,20,B10177,30/12/2028,100
Aminophylline 10mg,Aminophylline,,tablet,10mg,100,0,100,20,B10178,30/12/2028,100
Omeprazole 10mg,Omeprazole,,tablet,10mg,100,0,100,20,B10179,30/12/2028,100
Cimetidine 10mg,Cimetidine,,tablet,10mg,100,0,100,20,B10180,30/12/2028,100
Metoclopramide 10mg,Metoclopramide,,tablet,10mg,100,0,100,20,B10181,30/12/2028,100
Zinc Sulfate 10mg,Zinc Sulfate,,tablet,10mg,100,0,100,20,B10182,30/12/2028,100
Bisacodyl 10mg,Bisacodyl,,tablet,10mg,100,0,100,20,B10183,30/12/2028,100
Metformin 10mg,Metformin,,tablet,10mg,100,0,100,20,B10184,30/12/2028,100
Metformin 10mg,Metformin,,tablet,10mg,100,0,100,20,B10185,30/12/2028,100
Glibenclamide 10mg,Glibenclamide,,tablet,10mg,100,0,100,20,B10186,30/12/2028,100
Glimepiride 10mg,Glimepiride,,tablet,10mg,100,0,100,20,B10187,30/12/2028,100
Levothyroxine 10mg,Levothyroxine,,tablet,10mg,100,0,100,20,B10188,30/12/2028,100
Carbimazole 10mg,Carbimazole,,tablet,10mg,100,0,100,20,B10189,30/12/2028,100
Folic Acid 10mg,Folic Acid,,tablet,10mg,100,0,100,20,B10190,30/12/2028,100
Oxytocin 10mg,Oxytocin,,tablet,10mg,100,0,100,20,B10191,30/12/2028,100
Misoprostol 10mg,Misoprostol,,tablet,10mg,100,0,100,20,B10192,30/12/2028,100
Magnesium Sulfate 10mg,Magnesium Sulfate,,tablet,10mg,100,0,100,20,B10193,30/12/2028,100
Amitriptyline 10mg,Amitriptyline,,tablet,10mg,100,0,100,20,B10194,30/12/2028,100
Fluoxetine 10mg,Fluoxetine,,tablet,10mg,100,0,100,20,B10195,30/12/2028,100
Haloperidol 10mg,Haloperidol,,tablet,10mg,100,0,100,20,B10196,30/12/2028,100
Chlorpromazine 10mg,Chlorpromazine,,tablet,10mg,100,0,100,20,B10197,30/12/2028,100
Halothane 20mg,Halothane,,tablet,20mg,100,0,100,20,B10198,30/12/2028,100
Ketamine 20mg,Ketamine,,tablet,20mg,100,0,100,20,B10199,30/12/2028,100
Nitrous oxide 20mg,Nitrous oxide,,tablet,20mg,100,0,100,20,B10200,30/12/2028,100
Oxygen 20mg,Oxygen,,tablet,20mg,100,0,100,20,B10201,30/12/2028,100
Atropine 20mg,Atropine,,tablet,20mg,100,0,100,20,B10202,30/12/2028,100
Diazepam 20mg,Diazepam,,tablet,20mg,100,0,100,20,B10203,30/12/2028,100
Hyoscine N-Butylbromide 20mg,Hyoscine N-Butylbromide,,tablet,20mg,100,0,100,20,B10204,30/12/2028,100
Midazolam 20mg,Midazolam,,tablet,20mg,100,0,100,20,B10205,30/12/2028,100
Morphine 20mg,Morphine,,tablet,20mg,100,0,100,20,B10206,30/12/2028,100
Promethazine 20mg,Promethazine,,tablet,20mg,100,0,100,20,B10207,30/12/2028,100
Promethazine 20mg,Promethazine,,tablet,20mg,100,0,100,20,B10208,30/12/2028,100
Atracurium 20mg,Atracurium,,tablet,20mg,100,0,100,20,B10209,30/12/2028,100
Neostigmine 20mg,Neostigmine,,tablet,20mg,100,0,100,20,B10210,30/12/2028,100
Suxamethonium 20mg,Suxamethonium,,tablet,20mg,100,0,100,20,B10211,30/12/2028,100
Propofol 20mg,Propofol,,tablet,20mg,100,0,100,20,B10212,30/12/2028,100
Lidocaine 20mg,Lidocaine,,tablet,20mg,100,0,100,20,B10213,30/12/2028,100
Bupivacaine 20mg,Bupivacaine,,tablet,20mg,100,0,100,20,B10214,30/12/2028,100
Pentazocine 20mg,Pentazocine,,tablet,20mg,100,0,100,20,B10215,30/12/2028,100
Pethidine 20mg,Pethidine,,tablet,20mg,100,0,100,20,B10216,30/12/2028,100
Tramadol 20mg,Tramadol,,tablet,20mg,100,0,100,20,B10217,30/12/2028,100
Acetylsalicylic Acid 20mg,Acetylsalicylic Acid,,tablet,20mg,100,0,100,20,B10218,30/12/2028,100
Paracetamol 20mg,Paracetamol,,tablet,20mg,100,0,100,20,B10219,30/12/2028,100
Paracetamol 20mg,Paracetamol,,tablet,20mg,100,0,100,20,B10220,30/12/2028,100
Paracetamol 20mg,Paracetamol,,tablet,20mg,100,0,100,20,B10221,30/12/2028,100
Allopurinol 20mg,Allopurinol,,tablet,20mg,100,0,100,20,B10222,30/12/2028,100
Diclofenac Sodium 20mg,Diclofenac Sodium,,tablet,20mg,100,0,100,20,B10223,30/12/2028,100
Diclofenac Sodium 20mg,Diclofenac Sodium,,tablet,20mg,100,0,100,20,B10224,30/12/2028,100
Ibuprofen 20mg,Ibuprofen,,tablet,20mg,100,0,100,20,B10225,30/12/2028,100
Ibuprofen 20mg,Ibuprofen,,tablet,20mg,100,0,100,20,B10226,30/12/2028,100
Naproxen 20mg,Naproxen,,tablet,20mg,100,0,100,20,B10227,30/12/2028,100
Piroxicam 20mg,Piroxicam,,tablet,20mg,100,0,100,20,B10228,30/12/2028,100
Meloxicam 20mg,Meloxicam,,tablet,20mg,100,0,100,20,B10229,30/12/2028,100
Naloxone 20mg,Naloxone,,tablet,20mg,100,0,100,20,B10230,30/12/2028,100
Chlorpheniramine 20mg,Chlorpheniramine,,tablet,20mg,100,0,100,20,B10231,30/12/2028,100
Hydrocortisone 20mg,Hydrocortisone,,tablet,20mg,100,0,100,20,B10232,30/12/2028,100
Prednisolone 20mg,Prednisolone,,tablet,20mg,100,0,100,20,B10233,30/12/2028,100
Phenobarbital 20mg,Phenobarbital,,tablet,20mg,100,0,100,20,B10234,30/12/2028,100
Phenytoin 20mg,Phenytoin,,tablet,20mg,100,0,100,20,B10235,30/12/2028,100
Sodium Valproate 20mg,Sodium Valproate,,tablet,20mg,100,0,100,20,B10236,30/12/2028,100
Carbamazepine 20mg,Carbamazepine,,tablet,20mg,100,0,100,20,B10237,30/12/2028,100
Amoxicillin 20mg,Amoxicillin,,tablet,20mg,100,0,100,20,B10238,30/12/2028,100
Amoxicillin 20mg,Amoxicillin,,tablet,20mg,100,0,100,20,B10239,30/12/2028,100
Ampicillin 20mg,Ampicillin,,tablet,20mg,100,0,100,20,B10240,30/12/2028,100
Cloxacillin 20mg,Cloxacillin,,tablet,20mg,100,0,100,20,B10241,30/12/2028,100
Ceftriaxone 20mg,Ceftriaxone,,tablet,20mg,100,0,100,20,B10242,30/12/2028,100
Cefuroxime 20mg,Cefuroxime,,tablet,20mg,100,0,100,20,B10243,30/12/2028,100
Azithromycin 20mg,Azithromycin,,tablet,20mg,100,0,100,20,B10244,30/12/2028,100
Erythromycin 20mg,Erythromycin,,tablet,20mg,100,0,100,20,B10245,30/12/2028,100
Ciprofloxacin 20mg,Ciprofloxacin,,tablet,20mg,100,0,100,20,B10246,30/12/2028,100
Metronidazole 20mg,Metronidazole,,tablet,20mg,100,0,100,20,B10247,30/12/2028,100
Metronidazole 20mg,Metronidazole,,tablet,20mg,100,0,100,20,B10248,30/12/2028,100
Gentamicin 20mg,Gentamicin,,tablet,20mg,100,0,100,20,B10249,30/12/2028,100
Doxycycline 20mg,Doxycycline,,tablet,20mg,100,0,100,20,B10250,30/12/2028,100
Cotrimoxazole 20mg,Cotrimoxazole,,tablet,20mg,100,0,100,20,B10251,30/12/2028,100
Artemether + Lumefantrine 20mg,Artemether + Lumefantrine,,tablet,20mg,100,0,100,20,B10252,30/12/2028,100
Artesunate 20mg,Artesunate,,tablet,20mg,100,0,100,20,B10253,30/12/2028,100
Amodiaquine 20mg,Amodiaquine,,tablet,20mg,100,0,100,20,B10254,30/12/2028,100
Quinine 20mg,Quinine,,tablet,20mg,100,0,100,20,B10255,30/12/2028,100
Fluconazole 20mg,Fluconazole,,tablet,20mg,100,0,100,20,B10256,30/12/2028,100
Nystatin 20mg,Nystatin,,tablet,20mg,100,0,100,20,B10257,30/12/2028,100
Amlodipine 20mg,Amlodipine,,tablet,20mg,100,0,100,20,B10258,30/12/2028,100
Amlodipine 20mg,Amlodipine,,tablet,20mg,100,0,100,20,B10259,30/12/2028,100
Lisinopril 20mg,Lisinopril,,tablet,20mg,100,0,100,20,B10260,30/12/2028,100
Lisinopril 20mg,Lisinopril,,tablet,20mg,100,0,100,20,B10261,30/12/2028,100
Atenolol 20mg,Atenolol,,tablet,20mg,100,0,100,20,B10262,30/12/2028,100
Propranolol 20mg,Propranolol,,tablet,20mg,100,0,100,20,B10263,30/12/2028,100
Methyldopa 20mg,Methyldopa,,tablet,20mg,100,0,100,20,B10264,30/12/2028,100
Hydralazine 20mg,Hydralazine,,tablet,20mg,100,0,100,20,B10265,30/12/2028,100
Glyceryl Trinitrate 20mg,Glyceryl Trinitrate,,tablet,20mg,100,0,100,20,B10266,30/12/2028,100
Isosorbide Dinitrate 20mg,Isosorbide Dinitrate,,tablet,20mg,100,0,100,20,B10267,30/12/2028,100
Digoxin 20mg,Digoxin,,tablet,20mg,100,0,100,20,B10268,30/12/2028,100
Furosemide 20mg,Furosemide,,tablet,20mg,100,0,100,20,B10269,30/12/2028,100
Furosemide 20mg,Furosemide,,tablet,20mg,100,0,100,20,B10270,30/12/2028,100
Hydrochlorothiazide 20mg,Hydrochlorothiazide,,tablet,20mg,100,0,100,20,B10271,30/12/2028,100
Spironolactone 20mg,Spironolactone,,tablet,20mg,100,0,100,20,B10272,30/12/2028,100
Atorvastatin 20mg,Atorvastatin,,tablet,20mg,100,0,100,20,B10273,30/12/2028,100
Simvastatin 20mg,Simvastatin,,tablet,20mg,100,0,100,20,B10274,30/12/2028,100
Salbutamol 20mg,Salbutamol,,tablet,20mg,100,0,100,20,B10275,30/12/2028,100
Salbutamol 20mg,Salbutamol,,tablet,20mg,100,0,100,20,B10276,30/12/2028,100
Aminophylline 20mg,Aminophylline,,tablet,20mg,100,0,100,20,B10277,30/12/2028,100
